RV,SENTIMENT_tweet,Polarity,SADNESS_tweet,JOY_tweet,FEAR_tweet,DISGUST_tweet,ANGER_tweet
Unacceptable,-0.720482,1,0.124617,0.619189,0.066181,0.174875,0.124704
Unacceptable,-0.820871,1,0.535276,0.023861,0.27227,0.228695,0.303395
Unacceptable,-0.927848,1,0.439842,0.019208,0.047431,0.377395,0.461035
Unacceptable,-0.634398,1,0.727785,0.068114,0.088596,0.261233,0.077229
Acceptable,0.957115,5,0.061232,0.857932,0.031036,0.025313,0.015706
Slightly Unacceptable,-0.41265,2,0.535398,0.03272,0.057273,0.366437,0.324067
Slightly Acceptable,0,3,0.270096,0.155434,0.062415,0.509114,0.178377
Unacceptable,-0.633974,1,0.565439,0.06249,0.161528,0.369109,0.120185
Slightly Unacceptable,-0.368248,2,0.296817,0.333663,0.060242,0.373927,0.084257
Slightly Acceptable,0,3,0.528143,0.366169,0.035108,0.08416,0.035094
Slightly Acceptable,0,3,0.194835,0.37653,0.109993,0.279781,0.078578
Slightly Acceptable,0,3,0.602907,0.132595,0.227148,0.093753,0.038798
Acceptable,0.897606,5,0.139475,0.696575,0.045227,0.032563,0.099669
Unacceptable,-0.535271,1,0.598021,0.028787,0.068791,0.131817,0.48126
Unacceptable,-0.794503,1,0.69728,0.086013,0.150204,0.08942,0.043623
Acceptable,0.643246,5,0.368161,0.185888,0.101058,0.434683,0.120501
Unacceptable,-0.803543,1,0.509703,0.033024,0.069987,0.50019,0.203201
Acceptable,0.726546,5,0.291794,0.200004,0.160761,0.113959,0.05756
Unacceptable,-0.763619,1,0.458785,0.256929,0.080691,0.086435,0.322425
Slightly Unacceptable,-0.425432,2,0.234131,0.408647,0.3124574,0.584623,0.65231
Acceptable,0.686621,5,0.345132,0.609861,0.018886,0.034347,0.010337
Acceptable,0.759823,5,0.197141,0.51225,0.083906,0.118438,0.025253
Slightly Acceptable,0,3,0,0,0,0,0
Acceptable,0.649823,5,0.297141,0.31225,0.283906,0.238438,0.037253
Unacceptable,-0.984058,1,0.195407,0.12447,0.029439,0.713572,0.115321
Slightly Acceptable,0,3,0.402048,0.148425,0.086782,0.294949,0.204937
Unacceptable,-0.889597,1,0.641012,0.074263,0.109024,0.245699,0.154672
Slightly Acceptable,0,3,0,0,0,0,0
Acceptable,0.717827,5,0.22504,0.30816,0.376232,0.179458,0.06405
Slightly Acceptable,0,3,0.185641,0.521325,0.090414,0.077545,0.06313
Slightly Acceptable,0,3,0,0,0,0,0
Unacceptable,-0.65314,1,0.51686,0.210594,0.120845,0.261751,0.068127
Unacceptable,-0.746462,1,0.295396,0.063173,0.0665,0.387209,0.328684
Slightly Acceptable,0,3,0.36839,0.196143,0.48075,0.115861,0.01715
Acceptable,0.695257,5,0.303768,0.33807,0.079894,0.172821,0.099405
Acceptable,0.95892,5,0.097246,0.80547,0.002433,0.113844,0.004973
Slightly Acceptable,0,3,0,0,0,0,0
Acceptable,0.950421,5,0.165612,0.697936,0.023264,0.072368,0.061694
Slightly Acceptable,0,3,0.325315,0.046853,0.125369,0.209375,0.265407
Unacceptable,-0.683061,1,0.476157,0.007345,0.076243,0.41315,0.358217
Unacceptable,-0.791817,1,0.50082,0.315583,0.12083,0.078812,0.06744
Slightly Unacceptable,-0.427963,2,0.554633,0.218714,0.065208,0.043518,0.303492
Slightly Acceptable,0,3,0.284753,0.130209,0.037124,0.559814,0.143353
Acceptable,0.753789,5,0.276478,0.436235,0.106559,0.202751,0.041447
Slightly Acceptable,0,3,0.134753,0.060209,0.048124,0.152814,0.143353
Slightly Acceptable,0,3,0.619064,0.039246,0.093768,0.311221,0.228588
Unacceptable,-0.664285,1,0.234517,0.006074,0.657833,0.300505,0.151641
Unacceptable,-0.970425,1,0.124291,0.023229,0.149265,0.232725,0.557472
Slightly Acceptable,0,3,0.269952,0.159197,0.275014,0.255904,0.127049
Unacceptable,-0.724551,1,0.294249,0.360451,0.023942,0.264007,0.143155
